Region,Year,Crop,Area planted (ha),Production,Yield
ZIGUINCHOR,2017,Peanut,28093,26611,1.0417
ZIGUINCHOR,2017,Sorghum,521,498,1.0505
ZIGUINCHOR,2018,Sorghum,534,515,1.0604
ZIGUINCHOR,2016,Peanut,26753,26753,1.0736
ZIGUINCHOR,2018,Millet,4097,4032,1.0824
ZIGUINCHOR,2018,Peanut,24346,33854,1.5301
ZIGUINCHOR,2019,Cowpea,1401,618,1.595
ZIGUINCHOR,2019,Sorghum,1719,1019,1.65
ZIGUINCHOR,2018,Maize,1422,2247,1.738
ZIGUINCHOR,2017,Rice,37400,61700,1.815
ZIGUINCHOR,2019,Sesame,1274,729,1.87
ZIGUINCHOR,2019,Millet,4963,4097,1.98
ZIGUINCHOR,2018,Cassava,247,452,2.0174
ZIGUINCHOR,2016,Rice,37400,78718,2.3155
ZIGUINCHOR,2018,Rice,47002,101537,2.376
ZIGUINCHOR,2017,Maize,2386,5909,2.7247
ZIGUINCHOR,2019,Peanut,24848,35885,4.895
ZIGUINCHOR,2019,Maize,2390,4785,6.0775
ZIGUINCHOR,2019,Rice,29400,84238,6.292
ZIGUINCHOR,2016,Cassava,245,2455,11
